ticker,date,signal_type,gap_pct,vol_ratio,run_pct,green_days,t0_close,t1_close,t5_close,next_day_return,five_day_return,direction,direction_confidence
SGRY,2020-08-07,frd,,,0.3222,4,19.85,20.175,19.73,0.01637,-0.00605,frd,0.5370006471078708
SGRY,2021-02-02,frd,,,0.4131,4,38.9,38.62,35.25,-0.0072,-0.09383,frd,0.688430606692198
SGRY,2025-01-28,gap_and_go,0.2,9.293,,,25.75,25.75,25.7,0.0,-0.00194,long,1.0
PGNY,2020-05-13,gap_and_go,0.22255,9.094,,,26.13,24.55,25.51,-0.06047,-0.02373,long,1.0
PGNY,2022-08-05,gap_and_go,0.21599,5.069,,,41.15,44.58,45.01,0.08335,0.0938,long,1.0
PGNY,2025-11-18,frd,,,0.4892,7,25.85,25.4,26.77,-0.01741,0.03559,frd,0.8152877432888811
ARCO,2020-06-09,frd,,,0.3429,7,5.01,4.78,4.19,-0.04591,-0.16367,frd,0.5715533176663614
HTZ,2025-04-17,gap_and_go,0.30123,17.896,,,8.24,7.83,8.3,-0.04976,0.00728,long,1.0
ALKT,2022-05-31,frd,,,0.3502,7,14.05,14.08,14.03,0.00214,-0.00142,frd,0.5836514371180981
QURE,2022-06-24,frd,,,0.4431,4,19.11,18.67,19.18,-0.02302,0.00366,frd,0.7385525566935552
QURE,2024-07-09,gap_and_go,0.63757,102.893,,,6.67,10.12,9.21,0.51724,0.38081,long,1.0
QURE,2024-11-11,frd,,,0.4011,4,7.66,6.73,6.18,-0.12141,-0.19321,frd,0.6684652404146939
QURE,2024-12-10,gap_and_go,0.88074,72.164,,,15.3,15.65,16.46,0.02288,0.07582,long,1.0
QURE,2025-05-13,frd,,,0.3072,3,12.81,12.65,15.31,-0.01249,0.19516,frd,0.5119282753521177
QURE,2025-09-24,gap_and_go,1.88141,53.521,,,47.5,52.65,54.99,0.10842,0.15768,long,1.0
QURE,2025-09-30,frd,,,3.3485,4,58.37,54.99,57.92,-0.05791,-0.00771,frd,1.0
QURE,2026-03-11,frd,,,1.0221,5,17.56,16.94,14.73,-0.03531,-0.16116,frd,1.0
RAMP,2022-11-14,frd,,,0.3867,3,21.3,22.4,21.35,0.05164,0.00235,frd,0.6444728986454833
MBX,2025-08-18,frd,,,0.3068,4,14.57,13.32,13.89,-0.08579,-0.04667,frd,0.5113972548070351
MBX,2025-11-03,frd,,,0.4858,7,20.61,20.62,24.49,0.00049,0.18826,frd,0.809652625306925
XPRO,2025-07-29,gap_and_go,0.22222,6.726,,,11.89,10.88,10.83,-0.08495,-0.08915,long,1.0
INTA,2024-08-20,frd,,,0.3156,6,42.36,43.12,44.99,0.01794,0.06209,frd,0.5260464064895533
VRE,2022-10-21,gap_and_go,0.20853,4.609,,,15.31,15.45,15.85,0.00914,0.03527,long,1.0
PCT,2021-05-24,frd,,,0.3249,3,16.42,16.01,17.61,-0.02497,0.07247,frd,0.541448757313966
PCT,2021-11-18,frd,,,0.3796,3,12.95,12.55,12.16,-0.03089,-0.061,frd,0.6326672922876999
PCT,2022-03-02,frd,,,0.314,4,7.07,7.14,8.47,0.0099,0.19802,frd,0.5232908258842315
PCT,2022-03-11,frd,,,0.3928,4,9.19,8.41,9.43,-0.08487,0.02612,frd,0.6545892569695452
PCT,2022-05-20,frd,,,0.5119,6,9.51,9.85,9.3,0.03575,-0.02208,frd,0.8531431717812553
PCT,2024-09-17,frd,,,0.8977,4,8.76,8.15,10.17,-0.06963,0.16096,frd,1.0
ZYME,2020-09-15,frd,,,0.3337,4,40.97,41.5,43.99,0.01294,0.07371,frd,0.5560881176755438
ZYME,2022-05-04,frd,,,0.4834,5,7.03,6.49,5.16,-0.07681,-0.266,frd,0.8056707609697522
ZYME,2022-11-02,frd,,,0.3024,5,7.03,7.36,7.52,0.04694,0.0697,frd,0.5040792781263145
ZYME,2022-12-23,frd,,,0.465,8,8.04,7.49,7.54,-0.06841,-0.06219,frd,0.7749999894036187
ZYME,2023-01-17,frd,,,0.3316,4,10.0,10.0,9.82,0.0,-0.018,frd,0.5526083140248012
LAC,2024-03-04,frd,,,0.342,6,5.43,4.96,5.83,-0.08656,0.07366,frd,0.5700712763945222
LAC,2025-09-24,gap_and_go,0.64658,31.478,,,6.01,7.37,7.04,0.22629,0.17138,long,1.0
SONO,2023-11-21,frd,,,0.3497,5,14.03,14.24,15.14,0.01497,0.07912,frd,0.5827835623934476
SKYT,2024-12-19,frd,,,0.7205,3,12.44,13.75,14.91,0.10531,0.19855,frd,1.0
SKYT,2025-08-07,gap_and_go,0.26719,9.734,,,12.85,14.08,11.81,0.09572,-0.08093,long,1.0
SKYT,2025-09-23,frd,,,0.5732,8,15.2,15.3,18.66,0.00658,0.22763,frd,0.9552844346526992
